Plot Title: miniDOT-Benthic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)"	"Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)"	Coupler Attached (LGR S/N: 10517221)	Host Connected (LGR S/N: 10517221)	Stopped (LGR S/N: 10517221)	End Of File (LGR S/N: 10517221)
527	6/24/2018 6:00	11.819	592				
528	6/24/2018 6:30	11.916	1001				
529	6/24/2018 7:00	11.916	1022.6				
530	6/24/2018 7:30	11.916	1087.2				
531	6/24/2018 8:00	12.11	2755.6				
532	6/24/2018 8:30	12.11	3272.2				
533	6/24/2018 9:00	12.207	3788.9				
534	6/24/2018 9:30	12.304	2066.7				
535	6/24/2018 10:00	12.401	5166.7				
536	6/24/2018 10:30	12.401	4305.6				
537	6/24/2018 11:00	12.594	5338.9				
538	6/24/2018 11:30	12.69	5511.1				
539	6/24/2018 12:00	12.883	7577.8				
540	6/24/2018 12:30	12.883	4994.5				
541	6/24/2018 13:00	12.883	3100				
542	6/24/2018 13:30	12.883	5166.7				
543	6/24/2018 14:00	12.787	2669.5				
544	6/24/2018 14:30	12.883	4477.8				
545	6/24/2018 15:00	12.787	2927.8				
546	6/24/2018 15:30	12.98	4133.4				
547	6/24/2018 16:00	12.98	3444.5				
548	6/24/2018 16:30	12.98	2152.8				
549	6/24/2018 17:00	13.076	3100				
550	6/24/2018 17:30	12.98	1722.2				
551	6/24/2018 18:00	12.98	1550				
552	6/24/2018 18:30	12.883	1011.8				
553	6/24/2018 19:00	12.883	624.3				
554	6/24/2018 19:30	12.883	398.3				
555	6/24/2018 20:00	12.787	398.3				
556	6/24/2018 20:30	12.787	301.4				
557	6/24/2018 21:00	12.787	441.3				
558	6/24/2018 21:30	12.787	118.4				
559	6/24/2018 22:00	12.883	204.5				
560	6/24/2018 22:30	12.883	193.8				
561	6/24/2018 23:00	12.787	32.3				
562	6/24/2018 23:30	12.787	10.8				
563	6/25/2018 0:00	12.787	0				
564	6/25/2018 0:30	12.787	0				
565	6/25/2018 1:00	12.787	10.8				
566	6/25/2018 1:30	12.69	10.8				
567	6/25/2018 2:00	12.69	10.8				
568	6/25/2018 2:30	12.69	21.5				
569	6/25/2018 3:00	12.69	43.1				
570	6/25/2018 3:30	12.69	64.6				
571	6/25/2018 4:00	12.69	139.9				
572	6/25/2018 4:30	12.69	53.8				
573	6/25/2018 5:00	12.594	107.6				
574	6/25/2018 5:30	12.594	226				
575	6/25/2018 6:00	12.594	161.5				
576	6/25/2018 6:30	12.594	925.7				
577	6/25/2018 7:00	12.594	893.4				
578	6/25/2018 7:30	12.497	247.6				
579	6/25/2018 8:00	12.401	247.6				
580	6/25/2018 8:30	12.401	53.8				
581	6/25/2018 9:00	12.304	53.8				
582	6/25/2018 9:30	12.304	0				
583	6/25/2018 10:00	12.207	0				
584	6/25/2018 10:30	12.207	21.5				
