"Plot Title: MD_e5_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Coupler Detached (LGR S/N: 10517223)","Bad Battery (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
354,06/20/21 06:30:00,8.082,2066.7,,,,,,
355,06/20/21 07:30:00,8.382,7233.4,,,,,,
356,06/20/21 08:30:00,8.382,6200.0,,,,,,
357,06/20/21 09:30:00,8.282,4822.3,,,,,,
358,06/20/21 10:30:00,8.481,7233.4,,,,,,
359,06/20/21 11:30:00,8.581,8266.7,,,,,,
360,06/20/21 12:30:00,8.680,7577.8,,,,,,
361,06/20/21 13:30:00,8.779,9300.1,,,,,,
362,06/20/21 14:30:00,8.879,12400.1,,,,,,
363,06/20/21 15:30:00,9.077,8611.2,,,,,,
364,06/20/21 16:30:00,9.176,6200.0,,,,,,
365,06/20/21 17:30:00,9.077,4994.5,,,,,,
366,06/20/21 18:30:00,8.978,3100.0,,,,,,
367,06/20/21 19:30:00,9.077,4305.6,,,,,,
368,06/20/21 20:30:00,9.077,4133.4,,,,,,
369,06/20/21 21:30:00,8.978,1119.5,,,,,,
370,06/20/21 22:30:00,8.879,602.8,,,,,,
371,06/20/21 23:30:00,8.879,226.0,,,,,,
372,06/21/21 00:30:00,8.879,86.1,,,,,,
373,06/21/21 01:30:00,8.779,86.1,,,,,,
374,06/21/21 02:30:00,8.779,172.2,,,,,,
375,06/21/21 03:30:00,8.779,559.7,,,,,,
376,06/21/21 04:30:00,8.680,1044.1,,,,,,
377,06/21/21 05:30:00,8.581,2325.0,,,,,,
378,06/21/21 06:30:00,8.481,3961.1,,,,,,
379,06/21/21 07:30:00,8.581,5166.7,,,,,,
380,06/21/21 08:30:00,8.779,8611.2,,,,,,
381,06/21/21 09:30:00,8.680,5511.1,,,,,,
382,06/21/21 10:30:00,8.581,2755.6,,,,,,
383,06/21/21 11:30:00,8.779,6200.0,,,,,,
384,06/21/21 12:30:00,8.779,4650.0,,,,,,
385,06/21/21 13:30:00,9.077,8266.7,,,,,,
