"Plot Title: sonde_May21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10724105, SEN S/N: 10724105)","Intensity, Lux (LGR S/N: 10724105, SEN S/N: 10724105)","Coupler Detached (LGR S/N: 10724105)","Coupler Attached (LGR S/N: 10724105)","Host Connected (LGR S/N: 10724105)","Stopped (LGR S/N: 10724105)","End Of File (LGR S/N: 10724105)"
294,05/23/21 05:56:06 PM,4.934,41333.6,,,,,
295,05/23/21 06:26:06 PM,5.037,30311.3,,,,,
296,05/23/21 06:56:06 PM,4.207,14466.8,,,,,
297,05/23/21 07:26:06 PM,4.102,14466.8,,,,,
298,05/23/21 07:56:06 PM,3.998,14466.8,,,,,
299,05/23/21 08:26:06 PM,3.683,5166.7,,,,,
300,05/23/21 08:56:06 PM,3.367,5338.9,,,,,
301,05/23/21 09:26:06 PM,3.578,3100.0,,,,,
302,05/23/21 09:56:06 PM,2.943,1550.0,,,,,
303,05/23/21 10:26:06 PM,3.155,1313.2,,,,,
304,05/23/21 10:56:06 PM,3.261,441.3,,,,,
305,05/23/21 11:26:06 PM,2.730,107.6,,,,,
306,05/23/21 11:56:06 PM,2.730,32.3,,,,,
307,05/24/21 12:26:06 AM,2.837,21.5,,,,,
308,05/24/21 12:56:06 AM,2.624,0.0,,,,,
309,05/24/21 01:26:06 AM,2.837,10.8,,,,,
310,05/24/21 01:56:06 AM,3.049,10.8,,,,,
311,05/24/21 02:26:06 AM,2.943,32.3,,,,,
312,05/24/21 02:56:06 AM,2.943,96.9,,,,,
313,05/24/21 03:26:06 AM,2.837,269.1,,,,,
314,05/24/21 03:56:06 AM,2.624,430.6,,,,,
315,05/24/21 04:26:06 AM,2.517,742.7,,,,,
316,05/24/21 04:56:06 AM,2.837,1808.3,,,,,
317,05/24/21 05:26:06 AM,2.517,3100.0,,,,,
318,05/24/21 05:56:06 AM,2.730,3961.1,,,,,
319,05/24/21 06:26:06 AM,2.837,5338.9,,,,,
320,05/24/21 06:56:06 AM,3.049,10333.4,,,,,
321,05/24/21 07:26:06 AM,3.683,14466.8,,,,,
322,05/24/21 07:56:06 AM,3.683,17911.2,,,,,
323,05/24/21 08:26:06 AM,4.102,22044.6,,,,,
324,05/24/21 08:56:06 AM,4.831,28933.5,,,,,
325,05/24/21 09:26:06 AM,8.082,52355.9,,,,,
326,05/24/21 09:56:06 AM,6.978,30311.3,,,,,
327,05/24/21 10:26:06 AM,6.674,31689.1,,,,,
328,05/24/21 10:56:06 AM,5.450,44089.2,,,,,
329,05/24/21 11:26:06 AM,7.882,52355.9,,,,,
330,05/24/21 11:56:06 AM,7.280,39955.8,,,,,
331,05/24/21 12:26:06 PM,4.831,18600.1,,,,,
332,05/24/21 12:56:06 PM,6.471,44089.2,,,,,
333,05/24/21 01:26:06 PM,6.573,37200.2,,,,,
334,05/24/21 01:56:06 PM,6.064,22044.6,,,,,
335,05/24/21 02:26:06 PM,6.166,26178.0,,,,,
336,05/24/21 02:56:06 PM,6.775,27555.7,,,,,
337,05/24/21 03:26:06 PM,6.370,23422.4,,,,,
338,05/24/21 03:56:06 PM,5.757,22044.6,,,,,
339,05/24/21 04:26:06 PM,6.370,30311.3,,,,,
340,05/24/21 04:56:06 PM,6.674,34444.7,,,,,
341,05/24/21 05:26:06 PM,6.775,33066.9,,,,,
342,05/24/21 05:56:06 PM,5.860,24800.2,,,,,
343,05/24/21 06:26:06 PM,6.166,21355.7,,,,,
344,05/24/21 06:56:06 PM,5.347,22044.6,,,,,
345,05/24/21 07:26:06 PM,4.519,22044.6,,,,,
346,05/24/21 07:56:06 PM,3.998,13089.0,,,,,
347,05/24/21 08:26:06 PM,3.683,11022.3,,,,,
348,05/24/21 08:56:06 PM,3.578,8611.2,,,,,
349,05/24/21 09:26:06 PM,3.261,5338.9,,,,,
350,05/24/21 09:56:06 PM,2.943,2927.8,,,,,
351,05/24/21 10:26:06 PM,2.517,1808.3,,,,,
352,05/24/21 10:56:06 PM,2.088,1076.4,,,,,
353,05/24/21 11:26:06 PM,1.656,624.3,,,,,
354,05/24/21 11:56:06 PM,1.330,269.1,,,,,
355,05/25/21 12:26:06 AM,1.221,107.6,,,,,
356,05/25/21 12:56:06 AM,1.439,96.9,,,,,
357,05/25/21 01:26:06 AM,2.088,64.6,,,,,
358,05/25/21 01:56:06 AM,2.088,86.1,,,,,
359,05/25/21 02:26:06 AM,1.980,215.3,,,,,
360,05/25/21 02:56:06 AM,2.303,355.2,,,,,
361,05/25/21 03:26:06 AM,2.195,559.7,,,,,
362,05/25/21 03:56:06 AM,2.303,1216.3,,,,,
363,05/25/21 04:26:06 AM,2.624,3444.5,,,,,
364,05/25/21 04:56:06 AM,2.943,5166.7,,,,,
365,05/25/21 05:26:06 AM,3.155,6544.5,,,,,
366,05/25/21 05:56:06 AM,3.683,9300.1,,,,,
367,05/25/21 06:26:06 AM,4.934,18600.1,,,,,
368,05/25/21 06:56:06 AM,6.370,21355.7,,,,,
369,05/25/21 07:26:06 AM,7.179,28933.5,,,,,
370,05/25/21 07:56:06 AM,7.481,33066.9,,,,,
371,05/25/21 08:26:06 AM,7.179,35822.5,,,,,
372,05/25/21 08:56:06 AM,6.978,33066.9,,,,,
373,05/25/21 09:26:06 AM,7.682,35822.5,,,,,
374,05/25/21 09:56:06 AM,9.275,34444.7,,,,,
375,05/25/21 10:26:06 AM,10.944,49600.3,,,,,
376,05/25/21 10:56:06 AM,13.076,71644.9,,,,,
377,05/25/21 11:26:06 AM,11.236,126756.4,,,,,
378,05/25/21 11:56:06 AM,12.594,104711.8,,,,,
379,05/25/21 12:26:06 PM,11.625,79911.6,,,,,
380,05/25/21 12:56:06 PM,12.207,30311.3,,,,,
381,05/25/21 01:26:06 PM,10.846,253512.8,,,,,
382,05/25/21 01:56:06 PM,11.431,187379.0,,,,,
383,05/25/21 02:26:06 PM,11.431,121245.2,,,,,
384,05/25/21 02:56:06 PM,11.139,137778.7,,,,,
385,05/25/21 03:26:06 PM,11.819,115734.1,,,,,
386,05/25/21 03:56:06 PM,14.038,154312.1,,,,,
387,05/25/21 04:26:06 PM,15.855,126756.4,,,,,
388,05/25/21 04:56:06 PM,14.996,42711.4,,,,,
389,05/25/21 05:26:06 PM,16.141,42711.4,,,,,
390,05/25/21 05:56:06 PM,12.690,44089.2,,,,,
391,05/25/21 06:26:06 PM,11.625,110223.0,,,,,
392,05/25/21 06:56:06 PM,13.846,57867.0,,,,,
393,05/25/21 07:26:06 PM,14.804,33066.9,,,,,
394,05/25/21 07:56:06 PM,15.187,170845.6,,,,,
395,05/25/21 08:26:06 PM,12.304,21355.7,,,,,
396,05/25/21 08:56:06 PM,9.669,14466.8,,,,,
397,05/25/21 09:26:06 PM,8.879,12400.1,,,,,
398,05/25/21 09:56:06 PM,7.682,8611.2,,,,,
399,05/25/21 10:26:06 PM,6.268,4650.0,,,,,
400,05/25/21 10:56:06 PM,4.415,1808.3,,,,,
401,05/25/21 11:26:06 PM,3.893,635.1,,,,,
402,05/25/21 11:56:06 PM,3.998,344.4,,,,,
403,05/26/21 12:26:06 AM,2.410,183.0,,,,,
404,05/26/21 12:56:06 AM,2.303,129.2,,,,,
405,05/26/21 01:26:06 AM,3.683,129.2,,,,,
406,05/26/21 01:56:06 AM,3.472,258.3,,,,,
407,05/26/21 02:26:06 AM,2.195,409.0,,,,,
408,05/26/21 02:56:06 AM,2.837,904.2,,,,,
409,05/26/21 03:26:06 AM,3.578,1377.8,,,,,
410,05/26/21 03:56:06 AM,5.450,9644.5,,,,,
411,05/26/21 04:26:06 AM,7.079,12400.1,,,,,
412,05/26/21 04:56:06 AM,7.882,9300.1,,,,,
413,05/26/21 05:26:06 AM,7.280,55111.5,,,,,
414,05/26/21 05:56:06 AM,8.182,37200.2,,,,,
415,05/26/21 06:26:06 AM,8.182,143289.8,,,,,
416,05/26/21 06:56:06 AM,7.983,37200.2,,,,,
417,05/26/21 07:26:06 AM,8.382,26178.0,,,,,
418,05/26/21 07:56:06 AM,9.077,30311.3,,,,,
419,05/26/21 08:26:06 AM,9.571,57867.0,,,,,
420,05/26/21 08:56:06 AM,9.768,68889.3,,,,,
421,05/26/21 09:26:06 AM,9.866,30311.3,,,,,
422,05/26/21 09:56:06 AM,10.846,143289.8,,,,,
