"Plot Title: MD_Reyk_B_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Bad Battery (LGR S/N: 10517223)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
413,06/25/19 01:00:00,13.365,0.0,,,,,
414,06/25/19 01:30:00,13.365,0.0,,,,,
415,06/25/19 02:00:00,13.269,0.0,,,,,
416,06/25/19 02:30:00,13.558,0.0,,,,,
417,06/25/19 03:00:00,13.365,0.0,,,,,
418,06/25/19 03:30:00,13.461,0.0,,,,,
419,06/25/19 04:00:00,13.365,0.0,,,,,
420,06/25/19 04:30:00,13.269,0.0,,,,,
421,06/25/19 05:00:00,13.461,10.8,,,,,
422,06/25/19 05:30:00,13.365,10.8,,,,,
423,06/25/19 06:00:00,13.461,21.5,,,,,
424,06/25/19 06:30:00,13.461,53.8,,,,,
425,06/25/19 07:00:00,13.461,53.8,,,,,
426,06/25/19 07:30:00,13.365,64.6,,,,,
427,06/25/19 08:00:00,13.365,53.8,,,,,
428,06/25/19 08:30:00,13.365,86.1,,,,,
429,06/25/19 09:00:00,13.365,75.3,,,,,
430,06/25/19 09:30:00,13.269,64.6,,,,,
431,06/25/19 10:00:00,13.461,183.0,,,,,
432,06/25/19 10:30:00,13.173,86.1,,,,,
433,06/25/19 11:00:00,13.076,96.9,,,,,
434,06/25/19 11:30:00,13.173,32.3,,,,,
435,06/25/19 12:00:00,13.076,139.9,,,,,
436,06/25/19 12:30:00,13.461,409.0,,,,,
437,06/25/19 13:00:00,13.365,43.1,,,,,
438,06/25/19 13:30:00,13.461,139.9,,,,,
439,06/25/19 14:00:00,13.654,635.1,,,,,
440,06/25/19 14:30:00,13.654,215.3,,,,,
441,06/25/19 15:00:00,13.750,161.5,,,,,
442,06/25/19 15:30:00,13.846,473.6,,,,,
443,06/25/19 16:00:00,13.942,527.4,,,,,
444,06/25/19 16:30:00,14.038,419.8,,,,,
445,06/25/19 17:00:00,14.134,1377.8,,,,,
446,06/25/19 17:30:00,14.325,1291.7,,,,,
447,06/25/19 18:00:00,14.517,269.1,,,,,
448,06/25/19 18:30:00,14.613,172.2,,,,,
449,06/25/19 19:00:00,14.421,21.5,,,,,
450,06/25/19 19:30:00,14.230,107.6,,,,,
451,06/25/19 20:00:00,14.038,53.8,,,,,
452,06/25/19 20:30:00,14.038,86.1,,,,,
453,06/25/19 21:00:00,13.942,107.6,,,,,
454,06/25/19 21:30:00,14.038,75.3,,,,,
455,06/25/19 22:00:00,14.038,43.1,,,,,
456,06/25/19 22:30:00,13.942,32.3,,,,,
457,06/25/19 23:00:00,13.942,10.8,,,,,
458,06/25/19 23:30:00,13.942,0.0,,,,,
459,06/26/19 00:00:00,14.038,0.0,,,,,
460,06/26/19 00:30:00,14.038,0.0,,,,,
461,06/26/19 01:00:00,14.134,0.0,,,,,
462,06/26/19 01:30:00,14.230,0.0,,,,,
463,06/26/19 02:00:00,14.134,0.0,,,,,
464,06/26/19 02:30:00,13.942,0.0,,,,,
