"Plot Title: 10517223"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testT)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testL)","Coupler Detached (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
437,06/17/14 12:00:00,44.334,121245.2,,
438,06/17/14 12:30:00,45.076,121245.2,,
439,06/17/14 13:00:00,36.946,115734.1,,
440,06/17/14 13:30:00,36.079,85422.8,,
441,06/17/14 14:00:00,25.416,66133.8,,
442,06/17/14 14:30:00,22.046,33066.9,,
443,06/17/14 15:00:00,21.855,16533.4,,
444,06/17/14 15:30:00,21.569,30311.3,,
445,06/17/14 16:00:00,23.196,57867.0,,
446,06/17/14 16:30:00,19.567,35822.5,,
447,06/17/14 17:00:00,19.662,66133.8,,
448,06/17/14 17:30:00,17.950,26178.0,,
449,06/17/14 18:00:00,17.475,27555.7,,
450,06/17/14 18:30:00,16.523,11711.2,,
451,06/17/14 19:00:00,15.282,7577.8,,
452,06/17/14 19:30:00,13.846,5166.7,,
453,06/17/14 20:00:00,13.654,5338.9,,
454,06/17/14 20:30:00,14.134,4305.6,,
455,06/17/14 21:00:00,14.134,1377.8,,
456,06/17/14 21:30:00,12.690,1205.6,,
457,06/17/14 22:00:00,12.304,796.5,,
458,06/17/14 22:30:00,12.013,549.0,,
459,06/17/14 23:00:00,11.819,366.0,,
460,06/17/14 23:30:00,11.722,107.6,,
461,06/18/14 00:00:00,11.236,96.9,,
462,06/18/14 00:30:00,11.236,129.2,,
463,06/18/14 01:00:00,11.139,139.9,,
464,06/18/14 01:30:00,11.139,139.9,,
465,06/18/14 02:00:00,11.139,64.6,,
466,06/18/14 02:30:00,11.431,129.2,,
467,06/18/14 03:00:00,11.722,236.8,,
468,06/18/14 03:30:00,11.528,279.9,,
469,06/18/14 04:00:00,10.944,1065.6,,
470,06/18/14 04:30:00,10.553,2755.6,,
471,06/18/14 05:00:00,10.357,5166.7,,
472,06/18/14 05:30:00,10.553,4305.6,,
473,06/18/14 06:00:00,10.455,1808.3,,
474,06/18/14 06:30:00,10.553,5338.9,,
475,06/18/14 07:00:00,10.553,5166.7,,
476,06/18/14 07:30:00,10.748,12400.1,,
477,06/18/14 08:00:00,11.334,28933.5,,
478,06/18/14 08:30:00,12.013,20666.8,,
479,06/18/14 09:00:00,13.750,26178.0,,
480,06/18/14 09:30:00,13.269,19289.0,,
481,06/18/14 10:00:00,13.750,21355.7,,
482,06/18/14 10:30:00,17.760,137778.7,,
