"Plot Title: MD_st33_frame_3Aug20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Host Connected (LGR S/N: 10517215)","Coupler Attached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
424,10/08/20 06:00:00,3.893,0.0,,,,
425,10/08/20 08:00:00,3.893,0.0,,,,
426,10/08/20 10:00:00,3.893,86.1,,,,
427,10/08/20 12:00:00,3.893,172.2,,,,
428,10/08/20 14:00:00,3.893,129.2,,,,
429,10/08/20 16:00:00,3.998,32.3,,,,
430,10/08/20 18:00:00,3.998,0.0,,,,
431,10/08/20 20:00:00,3.998,0.0,,,,
432,10/08/20 22:00:00,3.998,0.0,,,,
433,10/09/20 00:00:00,3.893,0.0,,,,
434,10/09/20 02:00:00,3.893,0.0,,,,
435,10/09/20 04:00:00,3.788,0.0,,,,
436,10/09/20 06:00:00,3.788,0.0,,,,
437,10/09/20 08:00:00,3.893,0.0,,,,
438,10/09/20 10:00:00,3.893,0.0,,,,
439,10/09/20 12:00:00,3.893,10.8,,,,
440,10/09/20 14:00:00,3.893,161.5,,,,
441,10/09/20 16:00:00,3.998,32.3,,,,
442,10/09/20 18:00:00,3.893,0.0,,,,
443,10/09/20 20:00:00,3.683,0.0,,,,
444,10/09/20 22:00:00,3.683,0.0,,,,
445,10/10/20 00:00:00,3.578,0.0,,,,
446,10/10/20 02:00:00,3.578,0.0,,,,
447,10/10/20 04:00:00,3.578,0.0,,,,
448,10/10/20 06:00:00,3.578,0.0,,,,
449,10/10/20 08:00:00,3.683,0.0,,,,
450,10/10/20 10:00:00,3.578,215.3,,,,
451,10/10/20 12:00:00,3.683,419.8,,,,
452,10/10/20 14:00:00,3.683,355.2,,,,
453,10/10/20 16:00:00,3.683,129.2,,,,
454,10/10/20 18:00:00,3.683,0.0,,,,
455,10/10/20 20:00:00,3.578,0.0,,,,
456,10/10/20 22:00:00,3.578,0.0,,,,
457,10/11/20 00:00:00,3.683,0.0,,,,
458,10/11/20 02:00:00,3.472,0.0,,,,
459,10/11/20 04:00:00,3.472,0.0,,,,
460,10/11/20 06:00:00,3.472,0.0,,,,
461,10/11/20 08:00:00,3.472,0.0,,,,
462,10/11/20 10:00:00,3.472,10.8,,,,
463,10/11/20 12:00:00,3.472,32.3,,,,
464,10/11/20 14:00:00,3.472,107.6,,,,
465,10/11/20 16:00:00,3.472,21.5,,,,
466,10/11/20 18:00:00,3.578,0.0,,,,
467,10/11/20 20:00:00,3.578,0.0,,,,
468,10/11/20 22:00:00,3.472,0.0,,,,
469,10/12/20 00:00:00,3.472,0.0,,,,
470,10/12/20 02:00:00,3.472,0.0,,,,
471,10/12/20 04:00:00,3.472,0.0,,,,
