"Plot Title: E2 pelagic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Good Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Coupler Detached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
333,08/04/20 10:00:00,12.013,7233.4,,,,,,
334,08/04/20 10:30:00,12.013,7233.4,,,,,,
335,08/04/20 11:00:00,12.013,5166.7,,,,,,
336,08/04/20 11:30:00,12.110,6200.0,,,,,,
337,08/04/20 12:00:00,12.110,5511.1,,,,,,
338,08/04/20 12:30:00,12.013,5511.1,,,,,,
339,08/04/20 13:00:00,12.013,3616.7,,,,,,
340,08/04/20 13:30:00,12.304,4822.3,,,,,,
341,08/04/20 14:00:00,12.401,6544.5,,,,,,
342,08/04/20 14:30:00,12.497,6544.5,,,,,,
343,08/04/20 15:00:00,12.594,6200.0,,,,,,
344,08/04/20 15:30:00,12.690,5511.1,,,,,,
345,08/04/20 16:00:00,12.690,6544.5,,,,,,
346,08/04/20 16:30:00,12.690,4822.3,,,,,,
347,08/04/20 17:00:00,12.883,6200.0,,,,,,
348,08/04/20 17:30:00,12.690,5166.7,,,,,,
349,08/04/20 18:00:00,12.497,4650.0,,,,,,
350,08/04/20 18:30:00,12.304,3444.5,,,,,,
351,08/04/20 19:00:00,12.304,3961.1,,,,,,
352,08/04/20 19:30:00,12.304,2497.2,,,,,,
353,08/04/20 20:00:00,12.207,1184.0,,,,,,
354,08/04/20 20:30:00,12.207,624.3,,,,,,
355,08/04/20 21:00:00,12.207,301.4,,,,,,
356,08/04/20 21:30:00,12.110,226.0,,,,,,
357,08/04/20 22:00:00,12.110,86.1,,,,,,
358,08/04/20 22:30:00,12.110,0.0,,,,,,
359,08/04/20 23:00:00,12.207,0.0,,,,,,
360,08/04/20 23:30:00,12.207,0.0,,,,,,
361,08/05/20 00:00:00,12.110,0.0,,,,,,
362,08/05/20 00:30:00,12.013,0.0,,,,,,
363,08/05/20 01:00:00,12.013,0.0,,,,,,
364,08/05/20 01:30:00,12.013,0.0,,,,,,
365,08/05/20 02:00:00,11.916,0.0,,,,,,
366,08/05/20 02:30:00,11.916,0.0,,,,,,
367,08/05/20 03:00:00,11.916,0.0,,,,,,
368,08/05/20 03:30:00,11.916,0.0,,,,,,
369,08/05/20 04:00:00,11.916,0.0,,,,,,
370,08/05/20 04:30:00,11.916,0.0,,,,,,
371,08/05/20 05:00:00,11.819,21.5,,,,,,
372,08/05/20 05:30:00,11.819,75.3,,,,,,
373,08/05/20 06:00:00,11.819,118.4,,,,,,
374,08/05/20 06:30:00,11.819,118.4,,,,,,
375,08/05/20 07:00:00,11.722,290.6,,,,,,
376,08/05/20 07:30:00,11.722,312.2,,,,,,
377,08/05/20 08:00:00,11.722,193.8,,,,,,
378,08/05/20 08:30:00,11.722,398.3,,,,,,
379,08/05/20 09:00:00,11.722,452.1,,,,,,
380,08/05/20 09:30:00,11.722,527.4,,,,,,
381,08/05/20 10:00:00,11.722,1097.9,,,,,,
382,08/05/20 10:30:00,11.722,1636.1,,,,,,
383,08/05/20 11:00:00,11.722,1334.7,,,,,,
384,08/05/20 11:30:00,11.625,1345.5,,,,,,
385,08/05/20 12:00:00,11.625,1550.0,,,,,,
386,08/05/20 12:30:00,11.625,1550.0,,,,,,
387,08/05/20 13:00:00,11.722,2066.7,,,,,,
388,08/05/20 13:30:00,11.722,3616.7,,,,,,
389,08/05/20 14:00:00,11.916,8266.7,,,,,,
390,08/05/20 14:30:00,11.916,6200.0,,,,,,
391,08/05/20 15:00:00,11.916,6544.5,,,,,,
392,08/05/20 15:30:00,11.916,5511.1,,,,,,
393,08/05/20 16:00:00,12.013,5338.9,,,,,,
394,08/05/20 16:30:00,12.013,4994.5,,,,,,
395,08/05/20 17:00:00,12.110,7233.4,,,,,,
396,08/05/20 17:30:00,12.110,5511.1,,,,,,
397,08/05/20 18:00:00,12.110,4477.8,,,,,,
398,08/05/20 18:30:00,12.013,1808.3,,,,,,
399,08/05/20 19:00:00,12.013,1980.6,,,,,,
400,08/05/20 19:30:00,12.013,1980.6,,,,,,
401,08/05/20 20:00:00,12.013,1808.3,,,,,,
402,08/05/20 20:30:00,12.013,914.9,,,,,,
403,08/05/20 21:00:00,12.013,764.2,,,,,,
404,08/05/20 21:30:00,12.013,355.2,,,,,,
405,08/05/20 22:00:00,12.013,96.9,,,,,,
406,08/05/20 22:30:00,12.013,0.0,,,,,,
407,08/05/20 23:00:00,11.916,0.0,,,,,,
408,08/05/20 23:30:00,11.916,0.0,,,,,,
409,08/06/20 00:00:00,11.916,0.0,,,,,,
410,08/06/20 00:30:00,11.916,0.0,,,,,,
411,08/06/20 01:00:00,11.916,0.0,,,,,,
412,08/06/20 01:30:00,11.916,0.0,,,,,,
413,08/06/20 02:00:00,11.916,0.0,,,,,,
414,08/06/20 02:30:00,11.819,0.0,,,,,,
415,08/06/20 03:00:00,11.819,0.0,,,,,,
416,08/06/20 03:30:00,11.819,0.0,,,,,,
417,08/06/20 04:00:00,11.819,10.8,,,,,,
418,08/06/20 04:30:00,11.819,150.7,,,,,,
419,08/06/20 05:00:00,11.722,366.0,,,,,,
420,08/06/20 05:30:00,11.819,710.4,,,,,,
421,08/06/20 06:00:00,11.819,882.6,,,,,,
422,08/06/20 06:30:00,11.819,1194.8,,,,,,
423,08/06/20 07:00:00,11.819,1722.2,,,,,,
424,08/06/20 07:30:00,11.819,3272.2,,,,,,
425,08/06/20 08:00:00,11.819,4477.8,,,,,,
426,08/06/20 08:30:00,11.916,4822.3,,,,,,
427,08/06/20 09:00:00,11.916,5338.9,,,,,,
428,08/06/20 09:30:00,12.013,7233.4,,,,,,
429,08/06/20 10:00:00,12.110,8266.7,,,,,,
430,08/06/20 10:30:00,12.110,10677.8,,,,,,
431,08/06/20 11:00:00,12.207,5511.1,,,,,,
