"Plot Title: md_st33_benthic_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Temperature)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Light)","Coupler Attached (LGR S/N: 10349961)","Host Connected (LGR S/N: 10349961)","Stopped (LGR S/N: 10349961)","End Of File (LGR S/N: 10349961)"
381,06/21/19 12:00:00,9.571,1184.0,,,,
382,06/21/19 12:30:00,9.571,2325.0,,,,
383,06/21/19 13:00:00,9.669,2927.8,,,,
384,06/21/19 13:30:00,9.571,2497.2,,,,
385,06/21/19 14:00:00,9.768,3272.2,,,,
386,06/21/19 14:30:00,9.866,3272.2,,,,
387,06/21/19 15:00:00,9.965,3100.0,,,,
388,06/21/19 15:30:00,9.866,1980.6,,,,
389,06/21/19 16:00:00,9.965,2497.2,,,,
390,06/21/19 16:30:00,10.063,2755.6,,,,
391,06/21/19 17:00:00,9.965,2325.0,,,,
392,06/21/19 17:30:00,10.063,2152.8,,,,
393,06/21/19 18:00:00,10.063,1377.8,,,,
394,06/21/19 18:30:00,10.063,1550.0,,,,
395,06/21/19 19:00:00,10.063,1033.3,,,,
396,06/21/19 19:30:00,10.063,1248.6,,,,
397,06/21/19 20:00:00,9.965,775.0,,,,
398,06/21/19 20:30:00,9.965,613.5,,,,
399,06/21/19 21:00:00,9.866,258.3,,,,
400,06/21/19 21:30:00,9.866,215.3,,,,
401,06/21/19 22:00:00,9.768,172.2,,,,
402,06/21/19 22:30:00,9.768,107.6,,,,
403,06/21/19 23:00:00,9.768,75.3,,,,
404,06/21/19 23:30:00,9.669,32.3,,,,
405,06/22/19 00:00:00,9.571,10.8,,,,
406,06/22/19 00:30:00,9.571,10.8,,,,
407,06/22/19 01:00:00,9.571,0.0,,,,
408,06/22/19 01:30:00,9.571,0.0,,,,
409,06/22/19 02:00:00,9.571,0.0,,,,
410,06/22/19 02:30:00,9.571,0.0,,,,
411,06/22/19 03:00:00,9.571,10.8,,,,
412,06/22/19 03:30:00,9.571,21.5,,,,
413,06/22/19 04:00:00,9.571,32.3,,,,
414,06/22/19 04:30:00,9.472,96.9,,,,
415,06/22/19 05:00:00,9.472,86.1,,,,
416,06/22/19 05:30:00,9.472,258.3,,,,
417,06/22/19 06:00:00,9.472,258.3,,,,
418,06/22/19 06:30:00,9.571,409.0,,,,
419,06/22/19 07:00:00,9.571,613.5,,,,
420,06/22/19 07:30:00,9.571,796.5,,,,
421,06/22/19 08:00:00,9.571,968.8,,,,
422,06/22/19 08:30:00,9.571,1324.0,,,,
423,06/22/19 09:00:00,9.571,1054.9,,,,
424,06/22/19 09:30:00,9.669,1001.0,,,,
425,06/22/19 10:00:00,9.768,1894.5,,,,
426,06/22/19 10:30:00,9.768,1980.6,,,,
427,06/22/19 11:00:00,9.866,2066.7,,,,
428,06/22/19 11:30:00,9.866,1377.8,,,,
429,06/22/19 12:00:00,9.965,2497.2,,,,
430,06/22/19 12:30:00,9.965,1377.8,,,,
431,06/22/19 13:00:00,10.063,3616.7,,,,
432,06/22/19 13:30:00,10.259,3444.5,,,,
433,06/22/19 14:00:00,10.357,3616.7,,,,
434,06/22/19 14:30:00,10.455,3444.5,,,,
435,06/22/19 15:00:00,10.553,3788.9,,,,
436,06/22/19 15:30:00,10.455,3616.7,,,,
437,06/22/19 16:00:00,10.455,3961.1,,,,
438,06/22/19 16:30:00,10.651,4477.8,,,,
439,06/22/19 17:00:00,10.455,1980.6,,,,
440,06/22/19 17:30:00,10.651,3272.2,,,,
441,06/22/19 18:00:00,10.748,2411.1,,,,
442,06/22/19 18:30:00,10.748,2238.9,,,,
443,06/22/19 19:00:00,10.846,1550.0,,,,
444,06/22/19 19:30:00,10.846,1377.8,,,,
445,06/22/19 20:00:00,10.846,893.4,,,,
446,06/22/19 20:30:00,10.846,818.1,,,,
447,06/22/19 21:00:00,10.748,667.4,,,,
448,06/22/19 21:30:00,10.748,172.2,,,,
449,06/22/19 22:00:00,10.748,150.7,,,,
450,06/22/19 22:30:00,10.651,150.7,,,,
451,06/22/19 23:00:00,10.651,96.9,,,,
452,06/22/19 23:30:00,10.651,64.6,,,,
453,06/23/19 00:00:00,10.553,32.3,,,,
454,06/23/19 00:30:00,10.553,10.8,,,,
455,06/23/19 01:00:00,10.553,10.8,,,,
456,06/23/19 01:30:00,10.553,10.8,,,,
457,06/23/19 02:00:00,10.553,21.5,,,,
458,06/23/19 02:30:00,10.553,32.3,,,,
459,06/23/19 03:00:00,10.553,53.8,,,,
460,06/23/19 03:30:00,10.553,96.9,,,,
461,06/23/19 04:00:00,10.455,204.5,,,,
462,06/23/19 04:30:00,10.553,355.2,,,,
463,06/23/19 05:00:00,10.553,495.1,,,,
464,06/23/19 05:30:00,10.553,581.3,,,,
465,06/23/19 06:00:00,10.553,839.6,,,,
466,06/23/19 06:30:00,10.651,904.2,,,,
467,06/23/19 07:00:00,10.651,1227.1,,,,
468,06/23/19 07:30:00,10.748,1377.8,,,,
469,06/23/19 08:00:00,10.748,1550.0,,,,
470,06/23/19 08:30:00,10.846,1550.0,,,,
471,06/23/19 09:00:00,10.944,1894.5,,,,
472,06/23/19 09:30:00,11.041,2238.9,,,,
473,06/23/19 10:00:00,11.139,2325.0,,,,
474,06/23/19 10:30:00,11.139,2755.6,,,,
475,06/23/19 11:00:00,11.139,2755.6,,,,
476,06/23/19 11:30:00,11.236,2669.5,,,,
477,06/23/19 12:00:00,11.334,2325.0,,,,
478,06/23/19 12:30:00,11.431,4133.4,,,,
479,06/23/19 13:00:00,11.528,3100.0,,,,
480,06/23/19 13:30:00,11.528,3444.5,,,,
481,06/23/19 14:00:00,11.625,3272.2,,,,
482,06/23/19 14:30:00,11.722,4477.8,,,,
483,06/23/19 15:00:00,11.722,904.2,,,,
484,06/23/19 15:30:00,11.819,2927.8,,,,
485,06/23/19 16:00:00,11.916,3788.9,,,,
486,06/23/19 16:30:00,11.916,2669.5,,,,
487,06/23/19 17:00:00,12.013,2755.6,,,,
488,06/23/19 17:30:00,11.916,1550.0,,,,
489,06/23/19 18:00:00,11.916,947.2,,,,
490,06/23/19 18:30:00,11.916,699.7,,,,
491,06/23/19 19:00:00,11.916,699.7,,,,
