"Plot Title: e3_1m_19Jun221"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10419460, SEN S/N: 10419460, LBL: temp)","Intensity, Lux (LGR S/N: 10419460, SEN S/N: 10419460, LBL: light)","Coupler Attached (LGR S/N: 10419460)","Stopped (LGR S/N: 10419460)","End Of File (LGR S/N: 10419460)"
385,07/05/21 10:00:00,16.427,5166.7,,,
386,07/05/21 11:00:00,16.618,6200.0,,,
387,07/05/21 12:00:00,16.618,4822.3,,,
388,07/05/21 13:00:00,16.808,5166.7,,,
389,07/05/21 14:00:00,16.618,4994.5,,,
390,07/05/21 15:00:00,16.618,5166.7,,,
391,07/05/21 16:00:00,16.999,18600.1,,,
392,07/05/21 17:00:00,16.903,13777.9,,,
393,07/05/21 18:00:00,16.808,3616.7,,,
394,07/05/21 19:00:00,16.713,2066.7,,,
395,07/05/21 20:00:00,16.713,1894.5,,,
396,07/05/21 21:00:00,16.618,1205.6,,,
397,07/05/21 22:00:00,16.618,473.6,,,
398,07/05/21 23:00:00,16.523,172.2,,,
399,07/06/21 00:00:00,16.427,43.1,,,
400,07/06/21 01:00:00,16.332,10.8,,,
401,07/06/21 02:00:00,16.332,21.5,,,
402,07/06/21 03:00:00,16.332,107.6,,,
403,07/06/21 04:00:00,16.237,344.4,,,
404,07/06/21 05:00:00,16.237,581.3,,,
405,07/06/21 06:00:00,16.141,1894.5,,,
406,07/06/21 07:00:00,16.237,3100.0,,,
407,07/06/21 08:00:00,16.427,4305.6,,,
408,07/06/21 09:00:00,16.427,5511.1,,,
409,07/06/21 10:00:00,16.618,4994.5,,,
410,07/06/21 11:00:00,16.618,5166.7,,,
411,07/06/21 12:00:00,16.808,10677.8,,,
412,07/06/21 13:00:00,16.903,8266.7,,,
413,07/06/21 14:00:00,16.903,9644.5,,,
414,07/06/21 15:00:00,16.808,4133.4,,,
415,07/06/21 16:00:00,16.808,3100.0,,,
416,07/06/21 17:00:00,16.999,6200.0,,,
417,07/06/21 18:00:00,16.903,4477.8,,,
418,07/06/21 19:00:00,16.903,2583.4,,,
419,07/06/21 20:00:00,16.808,2152.8,,,
420,07/06/21 21:00:00,16.808,958.0,,,
421,07/06/21 22:00:00,16.713,1205.6,,,
422,07/06/21 23:00:00,16.713,247.6,,,
423,07/07/21 00:00:00,16.618,53.8,,,
424,07/07/21 01:00:00,16.523,10.8,,,
425,07/07/21 02:00:00,16.523,0.0,,,
426,07/07/21 03:00:00,16.523,10.8,,,
427,07/07/21 04:00:00,16.523,32.3,,,
428,07/07/21 05:00:00,16.523,742.7,,,
429,07/07/21 06:00:00,16.523,1044.1,,,
430,07/07/21 07:00:00,16.618,2066.7,,,
431,07/07/21 08:00:00,16.618,1550.0,,,
432,07/07/21 09:00:00,16.808,4822.3,,,
433,07/07/21 10:00:00,16.999,8611.2,,,
434,07/07/21 11:00:00,17.189,9644.5,,,
435,07/07/21 12:00:00,17.284,10333.4,,,
436,07/07/21 13:00:00,17.475,9300.1,,,
437,07/07/21 14:00:00,17.475,7233.4,,,
438,07/07/21 15:00:00,17.570,7233.4,,,
439,07/07/21 16:00:00,17.665,5511.1,,,
440,07/07/21 17:00:00,17.760,4650.0,,,
441,07/07/21 18:00:00,17.665,3272.2,,,
442,07/07/21 19:00:00,18.236,3616.7,,,
443,07/07/21 20:00:00,17.760,2755.6,,,
444,07/07/21 21:00:00,17.665,1550.0,,,
445,07/07/21 22:00:00,17.475,376.7,,,
446,07/07/21 23:00:00,17.475,204.5,,,
447,07/08/21 00:00:00,17.284,32.3,,,
448,07/08/21 01:00:00,17.189,0.0,,,
449,07/08/21 02:00:00,17.094,10.8,,,
450,07/08/21 03:00:00,16.903,64.6,,,
451,07/08/21 04:00:00,16.903,215.3,,,
452,07/08/21 05:00:00,16.713,269.1,,,
453,07/08/21 06:00:00,16.713,1054.9,,,
454,07/08/21 07:00:00,16.618,1205.6,,,
455,07/08/21 08:00:00,16.618,3100.0,,,
456,07/08/21 09:00:00,16.713,4822.3,,,
457,07/08/21 10:00:00,16.713,4305.6,,,
458,07/08/21 11:00:00,16.808,4994.5,,,
459,07/08/21 12:00:00,16.903,4305.6,,,
460,07/08/21 13:00:00,17.379,10677.8,,,
461,07/08/21 14:00:00,17.284,4133.4,,,
462,07/08/21 15:00:00,17.284,2927.8,,,
463,07/08/21 16:00:00,17.284,2927.8,,,
464,07/08/21 17:00:00,17.379,5511.1,,,
465,07/08/21 18:00:00,17.475,3788.9,,,
466,07/08/21 19:00:00,17.475,4133.4,,,
467,07/08/21 20:00:00,17.379,1227.1,,,
468,07/08/21 21:00:00,17.284,549.0,,,
469,07/08/21 22:00:00,17.284,215.3,,,
470,07/08/21 23:00:00,17.189,75.3,,,
471,07/09/21 00:00:00,17.094,10.8,,,
472,07/09/21 01:00:00,17.094,0.0,,,
473,07/09/21 02:00:00,16.999,0.0,,,
474,07/09/21 03:00:00,16.903,53.8,,,
475,07/09/21 04:00:00,16.808,204.5,,,
476,07/09/21 05:00:00,16.808,322.9,,,
477,07/09/21 06:00:00,16.808,871.9,,,
478,07/09/21 07:00:00,16.808,2152.8,,,
479,07/09/21 08:00:00,16.808,3961.1,,,
480,07/09/21 09:00:00,16.903,5166.7,,,
481,07/09/21 10:00:00,17.094,6544.5,,,
482,07/09/21 11:00:00,17.284,8266.7,,,
483,07/09/21 12:00:00,17.379,5338.9,,,
484,07/09/21 13:00:00,17.475,5166.7,,,
485,07/09/21 14:00:00,17.570,4477.8,,,
486,07/09/21 15:00:00,17.475,4133.4,,,
487,07/09/21 16:00:00,17.760,5166.7,,,
488,07/09/21 17:00:00,17.665,6544.5,,,
489,07/09/21 18:00:00,17.665,3444.5,,,
490,07/09/21 19:00:00,17.570,3616.7,,,
491,07/09/21 20:00:00,17.570,1980.6,,,
492,07/09/21 21:00:00,17.475,871.9,,,
493,07/09/21 22:00:00,17.475,301.4,,,
494,07/09/21 23:00:00,17.475,75.3,,,
495,07/10/21 00:00:00,17.379,10.8,,,
496,07/10/21 01:00:00,17.284,0.0,,,
497,07/10/21 02:00:00,17.284,21.5,,,
498,07/10/21 03:00:00,17.284,129.2,,,
499,07/10/21 04:00:00,17.284,430.6,,,
500,07/10/21 05:00:00,17.284,721.2,,,
501,07/10/21 06:00:00,17.284,947.2,,,
502,07/10/21 07:00:00,17.379,1377.8,,,
503,07/10/21 08:00:00,17.379,1980.6,,,
504,07/10/21 09:00:00,17.475,2755.6,,,
505,07/10/21 10:00:00,17.570,3616.7,,,
506,07/10/21 11:00:00,17.760,4477.8,,,
507,07/10/21 12:00:00,17.855,5166.7,,,
508,07/10/21 13:00:00,18.236,5511.1,,,
509,07/10/21 14:00:00,18.236,7233.4,,,
510,07/10/21 15:00:00,18.426,8266.7,,,
511,07/10/21 16:00:00,18.521,6544.5,,,
512,07/10/21 17:00:00,18.616,3961.1,,,
