"Plot Title: MD_Grim_P_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)","Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)","Coupler Attached (LGR S/N: 10517221)","Host Connected (LGR S/N: 10517221)","Stopped (LGR S/N: 10517221)","End Of File (LGR S/N: 10517221)"
371,06/24/19 04:00:00,12.497,904.2,,,,
372,06/24/19 04:30:00,12.497,1194.8,,,,
373,06/24/19 05:00:00,12.497,764.2,,,,
374,06/24/19 05:30:00,12.497,1550.0,,,,
375,06/24/19 06:00:00,12.497,1345.5,,,,
376,06/24/19 06:30:00,12.883,3961.1,,,,
377,06/24/19 07:00:00,12.594,2066.7,,,,
378,06/24/19 07:30:00,12.690,3444.5,,,,
379,06/24/19 08:00:00,12.980,5511.1,,,,
380,06/24/19 08:30:00,12.883,4133.4,,,,
381,06/24/19 09:00:00,12.883,4477.8,,,,
382,06/24/19 09:30:00,13.076,6544.5,,,,
383,06/24/19 10:00:00,12.980,5338.9,,,,
384,06/24/19 10:30:00,12.980,5166.7,,,,
385,06/24/19 11:00:00,13.173,8266.7,,,,
386,06/24/19 11:30:00,13.269,9644.5,,,,
387,06/24/19 12:00:00,13.558,12400.1,,,,
388,06/24/19 12:30:00,13.461,11022.3,,,,
389,06/24/19 13:00:00,13.365,10677.8,,,,
390,06/24/19 13:30:00,13.846,12400.1,,,,
391,06/24/19 14:00:00,13.558,11022.3,,,,
392,06/24/19 14:30:00,13.558,12400.1,,,,
393,06/24/19 15:00:00,13.654,8611.2,,,,
394,06/24/19 15:30:00,13.558,8611.2,,,,
395,06/24/19 16:00:00,13.750,13777.9,,,,
396,06/24/19 16:30:00,13.654,9300.1,,,,
397,06/24/19 17:00:00,13.558,8266.7,,,,
398,06/24/19 17:30:00,13.461,5338.9,,,,
399,06/24/19 18:00:00,13.365,6200.0,,,,
400,06/24/19 18:30:00,13.558,7233.4,,,,
401,06/24/19 19:00:00,13.365,3616.7,,,,
402,06/24/19 19:30:00,13.269,2411.1,,,,
403,06/24/19 20:00:00,13.269,3100.0,,,,
404,06/24/19 20:30:00,13.365,4650.0,,,,
405,06/24/19 21:00:00,13.173,785.8,,,,
406,06/24/19 21:30:00,13.076,495.1,,,,
407,06/24/19 22:00:00,13.076,279.9,,,,
408,06/24/19 22:30:00,13.076,226.0,,,,
409,06/24/19 23:00:00,13.076,312.2,,,,
410,06/24/19 23:30:00,12.980,150.7,,,,
411,06/25/19 00:00:00,12.980,53.8,,,,
412,06/25/19 00:30:00,13.076,21.5,,,,
413,06/25/19 01:00:00,13.173,32.3,,,,
414,06/25/19 01:30:00,13.173,10.8,,,,
415,06/25/19 02:00:00,13.173,21.5,,,,
416,06/25/19 02:30:00,13.076,43.1,,,,
417,06/25/19 03:00:00,13.076,96.9,,,,
418,06/25/19 03:30:00,13.076,193.8,,,,
419,06/25/19 04:00:00,13.076,322.9,,,,
420,06/25/19 04:30:00,13.076,1151.7,,,,
421,06/25/19 05:00:00,13.076,1550.0,,,,
422,06/25/19 05:30:00,13.076,1636.1,,,,
423,06/25/19 06:00:00,13.076,1980.6,,,,
424,06/25/19 06:30:00,13.173,3444.5,,,,
425,06/25/19 07:00:00,13.173,3272.2,,,,
426,06/25/19 07:30:00,13.173,3961.1,,,,
427,06/25/19 08:00:00,13.173,4650.0,,,,
428,06/25/19 08:30:00,13.461,6200.0,,,,
429,06/25/19 09:00:00,13.365,5511.1,,,,
430,06/25/19 09:30:00,13.365,4994.5,,,,
431,06/25/19 10:00:00,13.942,8611.2,,,,
432,06/25/19 10:30:00,13.461,4133.4,,,,
433,06/25/19 11:00:00,13.558,6544.5,,,,
434,06/25/19 11:30:00,13.269,2238.9,,,,
435,06/25/19 12:00:00,13.461,5511.1,,,,
436,06/25/19 12:30:00,13.461,5511.1,,,,
437,06/25/19 13:00:00,13.269,2669.5,,,,
438,06/25/19 13:30:00,13.558,7577.8,,,,
439,06/25/19 14:00:00,13.654,10333.4,,,,
440,06/25/19 14:30:00,14.230,11022.3,,,,
441,06/25/19 15:00:00,14.421,30311.3,,,,
442,06/25/19 15:30:00,14.421,34444.7,,,,
443,06/25/19 16:00:00,14.421,9644.5,,,,
444,06/25/19 16:30:00,14.230,10333.4,,,,
445,06/25/19 17:00:00,14.230,5166.7,,,,
446,06/25/19 17:30:00,14.230,5511.1,,,,
447,06/25/19 18:00:00,13.654,3616.7,,,,
448,06/25/19 18:30:00,13.750,2238.9,,,,
449,06/25/19 19:00:00,13.558,1980.6,,,,
450,06/25/19 19:30:00,13.558,1722.2,,,,
451,06/25/19 20:00:00,13.558,1184.0,,,,
452,06/25/19 20:30:00,13.750,1216.3,,,,
453,06/25/19 21:00:00,13.654,1636.1,,,,
454,06/25/19 21:30:00,13.558,1345.5,,,,
455,06/25/19 22:00:00,13.365,1151.7,,,,
456,06/25/19 22:30:00,13.269,893.4,,,,
457,06/25/19 23:00:00,13.365,452.1,,,,
458,06/25/19 23:30:00,13.558,193.8,,,,
459,06/26/19 00:00:00,13.365,129.2,,,,
460,06/26/19 00:30:00,13.269,107.6,,,,
461,06/26/19 01:00:00,13.269,53.8,,,,
462,06/26/19 01:30:00,13.269,64.6,,,,
463,06/26/19 02:00:00,13.365,86.1,,,,
464,06/26/19 02:30:00,13.365,86.1,,,,
465,06/26/19 03:00:00,13.269,161.5,,,,
466,06/26/19 03:30:00,13.269,366.0,,,,
467,06/26/19 04:00:00,13.173,559.7,,,,
468,06/26/19 04:30:00,13.173,731.9,,,,
469,06/26/19 05:00:00,13.173,2411.1,,,,
470,06/26/19 05:30:00,13.173,1377.8,,,,
471,06/26/19 06:00:00,13.365,2066.7,,,,
472,06/26/19 06:30:00,13.461,5511.1,,,,
473,06/26/19 07:00:00,13.461,6200.0,,,,
474,06/26/19 07:30:00,13.558,7577.8,,,,
475,06/26/19 08:00:00,13.750,4305.6,,,,
476,06/26/19 08:30:00,14.038,4133.4,,,,
477,06/26/19 09:00:00,14.230,5511.1,,,,
478,06/26/19 09:30:00,14.134,6200.0,,,,
479,06/26/19 10:00:00,14.325,26178.0,,,,
480,06/26/19 10:30:00,14.325,7233.4,,,,
481,06/26/19 11:00:00,14.421,7233.4,,,,
482,06/26/19 11:30:00,14.325,19289.0,,,,
483,06/26/19 12:00:00,14.325,24800.2,,,,
484,06/26/19 12:30:00,14.421,9644.5,,,,
485,06/26/19 13:00:00,14.517,33066.9,,,,
486,06/26/19 13:30:00,14.517,15844.5,,,,
