Plot Title: Reyk_Pelagic_17Jul18								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)"	"Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)"	Coupler Attached (LGR S/N: 10349970)	Coupler Detached (LGR S/N: 10349970)	Host Connected (LGR S/N: 10349970)	Stopped (LGR S/N: 10349970)	End Of File (LGR S/N: 10349970)
486	7/22/2018 12:15	14.134	226					
487	7/22/2018 12:30	14.134	333.7					
488	7/22/2018 12:45	14.134	387.5					
489	7/22/2018 13:00	14.134	301.4					
490	7/22/2018 13:15	14.134	269.1					
491	7/22/2018 13:30	14.134	333.7					
492	7/22/2018 13:45	14.134	387.5					
493	7/22/2018 14:00	14.134	344.4					
494	7/22/2018 14:15	14.134	247.6					
495	7/22/2018 14:30	14.134	193.8					
496	7/22/2018 14:45	14.134	161.5					
497	7/22/2018 15:00	14.134	118.4					
498	7/22/2018 15:15	14.134	86.1					
499	7/22/2018 15:30	14.134	86.1					
500	7/22/2018 15:45	14.134	118.4					
501	7/22/2018 16:00	14.134	118.4					
502	7/22/2018 16:15	14.134	161.5					
503	7/22/2018 16:30	14.038	150.7					
504	7/22/2018 16:45	14.134	107.6					
505	7/22/2018 17:00	14.134	139.9					
506	7/22/2018 17:15	14.134	129.2					
507	7/22/2018 17:30	14.038	96.9					
508	7/22/2018 17:45	14.038	107.6					
509	7/22/2018 18:00	14.038	86.1					
510	7/22/2018 18:15	14.038	53.8					
511	7/22/2018 18:30	14.038	43.1					
512	7/22/2018 18:45	14.038	32.3					
513	7/22/2018 19:00	14.038	21.5					
514	7/22/2018 19:15	14.038	21.5					
515	7/22/2018 19:30	14.038	21.5					
516	7/22/2018 19:45	14.038	43.1					
517	7/22/2018 20:00	14.038	32.3					
518	7/22/2018 20:15	14.038	32.3					
519	7/22/2018 20:30	13.942	21.5					
520	7/22/2018 20:45	14.038	32.3					
521	7/22/2018 21:00	13.942	21.5					
522	7/22/2018 21:15	13.942	10.8					
523	7/22/2018 21:30	13.942	0					
524	7/22/2018 21:45	13.942	0					
525	7/22/2018 22:00	13.942	0					
526	7/22/2018 22:15	13.942	0					
527	7/22/2018 22:30	13.942	0					
528	7/22/2018 22:45	13.942	0					
529	7/22/2018 23:00	13.942	0					
530	7/22/2018 23:15	13.942	0					
531	7/22/2018 23:30	13.846	0					
532	7/22/2018 23:45	13.846	0					
533	7/23/2018 0:00	13.846	0					
534	7/23/2018 0:15	13.846	0					
535	7/23/2018 0:30	13.846	0					
536	7/23/2018 0:45	13.846	0					
537	7/23/2018 1:00	13.846	0					
538	7/23/2018 1:15	13.846	0					
