"Plot Title: MD_E6_LOW_20AUG19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Bad Battery (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
262,09/11/19 06:05:00 PM,8.082,0.0,,
263,09/11/19 08:05:00 PM,8.082,0.0,,
264,09/11/19 10:05:00 PM,8.082,0.0,,
265,09/12/19 12:05:00 AM,7.983,0.0,,
266,09/12/19 02:05:00 AM,7.983,0.0,,
267,09/12/19 04:05:00 AM,7.782,0.0,,
268,09/12/19 06:05:00 AM,7.582,0.0,,
269,09/12/19 08:05:00 AM,7.481,0.0,,
270,09/12/19 10:05:00 AM,7.481,43.1,,
271,09/12/19 12:05:00 PM,7.481,32.3,,
272,09/12/19 02:05:00 PM,7.782,161.5,,
273,09/12/19 04:05:00 PM,7.882,53.8,,
274,09/12/19 06:05:00 PM,7.782,0.0,,
275,09/12/19 08:05:00 PM,7.882,0.0,,
276,09/12/19 10:05:00 PM,7.682,0.0,,
277,09/13/19 12:05:00 AM,7.381,0.0,,
278,09/13/19 02:05:00 AM,7.381,0.0,,
279,09/13/19 04:05:00 AM,7.882,0.0,,
280,09/13/19 06:05:00 AM,7.582,0.0,,
281,09/13/19 08:05:00 AM,7.782,0.0,,
282,09/13/19 10:05:00 AM,8.082,53.8,,
283,09/13/19 12:05:00 PM,8.182,107.6,,
284,09/13/19 02:05:00 PM,8.481,96.9,,
285,09/13/19 04:05:00 PM,8.581,21.5,,
286,09/13/19 06:05:00 PM,8.481,0.0,,
287,09/13/19 08:05:00 PM,8.382,0.0,,
288,09/13/19 10:05:00 PM,8.182,0.0,,
289,09/14/19 12:05:00 AM,8.082,0.0,,
290,09/14/19 02:05:00 AM,7.983,0.0,,
291,09/14/19 04:05:00 AM,7.882,0.0,,
292,09/14/19 06:05:00 AM,7.782,0.0,,
293,09/14/19 08:05:00 AM,7.782,0.0,,
294,09/14/19 10:05:00 AM,7.682,0.0,,
295,09/14/19 12:05:00 PM,7.682,0.0,,
296,09/14/19 02:05:00 PM,7.682,10.8,,
297,09/14/19 04:05:00 PM,7.682,0.0,,
298,09/14/19 06:05:00 PM,7.682,0.0,,
299,09/14/19 08:05:00 PM,7.582,0.0,,
300,09/14/19 10:05:00 PM,7.079,0.0,,
301,09/15/19 12:05:00 AM,6.775,0.0,,
302,09/15/19 02:05:00 AM,6.268,0.0,,
303,09/15/19 04:05:00 AM,6.166,0.0,,
304,09/15/19 06:05:00 AM,6.064,0.0,,
305,09/15/19 08:05:00 AM,6.064,0.0,,
306,09/15/19 10:05:00 AM,6.166,43.1,,
307,09/15/19 12:05:00 PM,6.268,96.9,,
308,09/15/19 02:05:00 PM,6.268,32.3,,
309,09/15/19 04:05:00 PM,6.268,10.8,,
310,09/15/19 06:05:00 PM,6.370,0.0,,
311,09/15/19 08:05:00 PM,6.268,0.0,,
312,09/15/19 10:05:00 PM,6.166,0.0,,
313,09/16/19 12:05:00 AM,6.370,0.0,,
314,09/16/19 02:05:00 AM,5.860,0.0,,
315,09/16/19 04:05:00 AM,5.450,0.0,,
316,09/16/19 06:05:00 AM,5.141,0.0,,
317,09/16/19 08:05:00 AM,5.347,0.0,,
318,09/16/19 10:05:00 AM,5.962,21.5,,
319,09/16/19 12:05:00 PM,5.962,32.3,,
320,09/16/19 02:05:00 PM,6.471,32.3,,
321,09/16/19 04:05:00 PM,6.674,43.1,,
322,09/16/19 06:05:00 PM,6.471,0.0,,
323,09/16/19 08:05:00 PM,6.471,0.0,,
324,09/16/19 10:05:00 PM,6.370,0.0,,
325,09/17/19 12:05:00 AM,6.268,0.0,,
326,09/17/19 02:05:00 AM,5.757,0.0,,
327,09/17/19 04:05:00 AM,5.962,0.0,,
328,09/17/19 06:05:00 AM,5.962,0.0,,
329,09/17/19 08:05:00 AM,5.962,0.0,,
330,09/17/19 10:05:00 AM,5.962,0.0,,
331,09/17/19 12:05:00 PM,6.166,75.3,,
332,09/17/19 02:05:00 PM,6.166,32.3,,
333,09/17/19 04:05:00 PM,6.064,10.8,,
334,09/17/19 06:05:00 PM,6.166,0.0,,
335,09/17/19 08:05:00 PM,6.166,0.0,,
336,09/17/19 10:05:00 PM,6.064,0.0,,
337,09/18/19 12:05:00 AM,5.962,0.0,,
338,09/18/19 02:05:00 AM,6.064,0.0,,
339,09/18/19 04:05:00 AM,6.064,0.0,,
340,09/18/19 06:05:00 AM,5.655,0.0,,
341,09/18/19 08:05:00 AM,5.552,0.0,,
342,09/18/19 10:05:00 AM,5.757,0.0,,
343,09/18/19 12:05:00 PM,5.757,0.0,,
344,09/18/19 02:05:00 PM,5.655,0.0,,
345,09/18/19 04:05:00 PM,5.655,0.0,,
346,09/18/19 06:05:00 PM,5.860,0.0,,
347,09/18/19 08:05:00 PM,5.860,0.0,,
348,09/18/19 10:05:00 PM,5.860,0.0,,
349,09/19/19 12:05:00 AM,5.962,0.0,,
350,09/19/19 02:05:00 AM,5.962,0.0,,
351,09/19/19 04:05:00 AM,5.860,0.0,,
352,09/19/19 06:05:00 AM,5.860,0.0,,
353,09/19/19 08:05:00 AM,5.860,0.0,,
354,09/19/19 10:05:00 AM,5.962,0.0,,
355,09/19/19 12:05:00 PM,6.064,0.0,,
356,09/19/19 02:05:00 PM,6.268,86.1,,
357,09/19/19 04:05:00 PM,6.166,0.0,,
358,09/19/19 06:05:00 PM,6.370,0.0,,
359,09/19/19 08:05:00 PM,6.370,0.0,,
360,09/19/19 10:05:00 PM,6.370,0.0,,
361,09/20/19 12:05:00 AM,6.573,0.0,,
362,09/20/19 02:05:00 AM,6.674,0.0,,
363,09/20/19 04:05:00 AM,6.877,0.0,,
364,09/20/19 06:05:00 AM,6.775,0.0,,
365,09/20/19 08:05:00 AM,6.978,0.0,,
366,09/20/19 10:05:00 AM,6.978,0.0,,
367,09/20/19 12:05:00 PM,7.179,21.5,,
368,09/20/19 02:05:00 PM,7.280,10.8,,
369,09/20/19 04:05:00 PM,7.481,43.1,,
370,09/20/19 06:05:00 PM,7.481,0.0,,
371,09/20/19 08:05:00 PM,7.682,0.0,,
372,09/20/19 10:05:00 PM,7.682,0.0,,
373,09/21/19 12:05:00 AM,7.782,0.0,,
374,09/21/19 02:05:00 AM,7.682,0.0,,
375,09/21/19 04:05:00 AM,7.682,0.0,,
376,09/21/19 06:05:00 AM,7.682,0.0,,
377,09/21/19 08:05:00 AM,7.782,0.0,,
378,09/21/19 10:05:00 AM,7.882,64.6,,
379,09/21/19 12:05:00 PM,7.983,64.6,,
380,09/21/19 02:05:00 PM,8.082,172.2,,
381,09/21/19 04:05:00 PM,8.082,64.6,,
