"Plot Title: MD_E6_Pel_29Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Good Battery (LGR S/N: 10517216)","Coupler Attached (LGR S/N: 10517216)","Host Connected (LGR S/N: 10517216)","Stopped (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
357,08/05/20 22:00:00,11.722,0.0,,,,,
358,08/05/20 22:30:00,11.722,0.0,,,,,
359,08/05/20 23:00:00,11.722,0.0,,,,,
360,08/05/20 23:30:00,11.722,0.0,,,,,
361,08/06/20 00:00:00,11.722,0.0,,,,,
362,08/06/20 00:30:00,11.625,0.0,,,,,
363,08/06/20 01:00:00,11.528,0.0,,,,,
364,08/06/20 01:30:00,11.431,0.0,,,,,
365,08/06/20 02:00:00,11.431,0.0,,,,,
366,08/06/20 02:30:00,11.236,0.0,,,,,
367,08/06/20 03:00:00,11.236,0.0,,,,,
368,08/06/20 03:30:00,11.139,0.0,,,,,
369,08/06/20 04:00:00,11.139,0.0,,,,,
370,08/06/20 04:30:00,11.041,64.6,,,,,
371,08/06/20 05:00:00,10.944,215.3,,,,,
372,08/06/20 05:30:00,10.846,258.3,,,,,
373,08/06/20 06:00:00,10.846,516.7,,,,,
374,08/06/20 06:30:00,10.846,947.2,,,,,
375,08/06/20 07:00:00,10.651,1550.0,,,,,
376,08/06/20 07:30:00,10.553,1636.1,,,,,
377,08/06/20 08:00:00,10.748,3961.1,,,,,
378,08/06/20 08:30:00,10.846,5511.1,,,,,
379,08/06/20 09:00:00,10.846,5511.1,,,,,
380,08/06/20 09:30:00,10.944,5511.1,,,,,
381,08/06/20 10:00:00,10.846,5166.7,,,,,
382,08/06/20 10:30:00,10.846,5511.1,,,,,
383,08/06/20 11:00:00,10.846,6200.0,,,,,
384,08/06/20 11:30:00,10.748,9644.5,,,,,
385,08/06/20 12:00:00,10.748,8611.2,,,,,
386,08/06/20 12:30:00,11.041,33066.9,,,,,
387,08/06/20 13:00:00,10.846,5166.7,,,,,
388,08/06/20 13:30:00,11.041,7577.8,,,,,
389,08/06/20 14:00:00,11.139,6544.5,,,,,
390,08/06/20 14:30:00,11.236,14466.8,,,,,
391,08/06/20 15:00:00,11.236,23422.4,,,,,
392,08/06/20 15:30:00,11.334,18600.1,,,,,
393,08/06/20 16:00:00,11.528,13089.0,,,,,
394,08/06/20 16:30:00,11.625,7233.4,,,,,
395,08/06/20 17:00:00,11.625,4994.5,,,,,
396,08/06/20 17:30:00,11.528,3100.0,,,,,
397,08/06/20 18:00:00,11.334,4133.4,,,,,
398,08/06/20 18:30:00,11.041,1550.0,,,,,
399,08/06/20 19:00:00,10.944,2497.2,,,,,
400,08/06/20 19:30:00,11.041,1463.9,,,,,
401,08/06/20 20:00:00,11.139,1141.0,,,,,
402,08/06/20 20:30:00,11.041,1313.2,,,,,
403,08/06/20 21:00:00,11.139,516.7,,,,,
404,08/06/20 21:30:00,11.139,118.4,,,,,
405,08/06/20 22:00:00,11.139,21.5,,,,,
406,08/06/20 22:30:00,11.139,0.0,,,,,
407,08/06/20 23:00:00,11.139,0.0,,,,,
408,08/06/20 23:30:00,11.041,0.0,,,,,
409,08/07/20 00:00:00,11.041,0.0,,,,,
410,08/07/20 00:30:00,10.944,0.0,,,,,
411,08/07/20 01:00:00,10.944,0.0,,,,,
412,08/07/20 01:30:00,11.041,0.0,,,,,
413,08/07/20 02:00:00,11.041,0.0,,,,,
414,08/07/20 02:30:00,11.431,0.0,,,,,
415,08/07/20 03:00:00,11.334,0.0,,,,,
416,08/07/20 03:30:00,11.431,0.0,,,,,
417,08/07/20 04:00:00,11.431,0.0,,,,,
418,08/07/20 04:30:00,11.334,139.9,,,,,
419,08/07/20 05:00:00,11.431,312.2,,,,,
420,08/07/20 05:30:00,11.431,430.6,,,,,
421,08/07/20 06:00:00,11.431,602.8,,,,,
422,08/07/20 06:30:00,11.334,366.0,,,,,
423,08/07/20 07:00:00,11.334,1001.0,,,,,
424,08/07/20 07:30:00,11.236,1356.3,,,,,
425,08/07/20 08:00:00,11.334,3272.2,,,,,
426,08/07/20 08:30:00,11.431,6200.0,,,,,
427,08/07/20 09:00:00,11.431,2411.1,,,,,
428,08/07/20 09:30:00,11.334,2669.5,,,,,
429,08/07/20 10:00:00,11.431,3616.7,,,,,
430,08/07/20 10:30:00,11.528,6200.0,,,,,
431,08/07/20 11:00:00,11.528,13777.9,,,,,
432,08/07/20 11:30:00,11.431,12400.1,,,,,
433,08/07/20 12:00:00,11.334,4650.0,,,,,
434,08/07/20 12:30:00,11.139,2152.8,,,,,
435,08/07/20 13:00:00,11.236,5166.7,,,,,
436,08/07/20 13:30:00,11.236,2927.8,,,,,
437,08/07/20 14:00:00,11.431,7577.8,,,,,
438,08/07/20 14:30:00,11.528,5166.7,,,,,
439,08/07/20 15:00:00,11.528,4133.4,,,,,
440,08/07/20 15:30:00,11.528,5166.7,,,,,
441,08/07/20 16:00:00,11.236,5166.7,,,,,
442,08/07/20 16:30:00,11.236,2238.9,,,,,
443,08/07/20 17:00:00,11.431,5166.7,,,,,
444,08/07/20 17:30:00,11.431,1636.1,,,,,
445,08/07/20 18:00:00,11.625,3444.5,,,,,
446,08/07/20 18:30:00,11.722,1894.5,,,,,
447,08/07/20 19:00:00,12.013,1463.9,,,,,
448,08/07/20 19:30:00,12.207,2066.7,,,,,
449,08/07/20 20:00:00,12.110,1054.9,,,,,
450,08/07/20 20:30:00,12.304,462.9,,,,,
451,08/07/20 21:00:00,12.401,452.1,,,,,
452,08/07/20 21:30:00,12.497,107.6,,,,,
453,08/07/20 22:00:00,12.594,10.8,,,,,
454,08/07/20 22:30:00,12.594,0.0,,,,,
455,08/07/20 23:00:00,12.594,0.0,,,,,
456,08/07/20 23:30:00,12.594,0.0,,,,,
457,08/08/20 00:00:00,12.497,0.0,,,,,
458,08/08/20 00:30:00,12.497,0.0,,,,,
459,08/08/20 01:00:00,12.401,0.0,,,,,
