Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
340,7/27/2020 15:30,11.916,115734.1,,,,
341,7/27/2020 16:00,11.236,126756.4,,,,
342,7/27/2020 16:30,11.528,88178.4,,,,
343,7/27/2020 17:00,10.357,31689.1,,,,
344,7/27/2020 17:30,10.357,19977.9,,,,
345,7/27/2020 18:00,11.236,55111.5,,,,
346,7/27/2020 18:30,9.176,24800.2,,,,
347,7/27/2020 19:00,8.282,13777.9,,,,
348,7/27/2020 19:30,8.082,18600.1,,,,
349,7/27/2020 20:00,7.682,8266.7,,,,
350,7/27/2020 20:30,7.381,3444.5,,,,
351,7/27/2020 21:00,6.978,1894.5,,,,
352,7/27/2020 21:30,6.978,1205.6,,,,
353,7/27/2020 22:00,6.978,398.3,,,,
354,7/27/2020 22:30,6.573,183,,,,
355,7/27/2020 23:00,6.471,64.6,,,,
356,7/27/2020 23:30,6.471,21.5,,,,
357,7/28/2020 0:00,6.37,0,,,,
358,7/28/2020 0:30,6.573,0,,,,
359,7/28/2020 1:00,6.674,0,,,,
360,7/28/2020 1:30,6.775,0,,,,
361,7/28/2020 2:00,6.775,0,,,,
362,7/28/2020 2:30,7.079,0,,,,
363,7/28/2020 3:00,6.978,0,,,,
364,7/28/2020 3:30,6.37,10.8,,,,
365,7/28/2020 4:00,6.37,118.4,,,,
366,7/28/2020 4:30,6.064,193.8,,,,
367,7/28/2020 5:00,6.166,452.1,,,,
368,7/28/2020 5:30,6.268,914.9,,,,
369,7/28/2020 6:00,6.166,1550,,,,
370,7/28/2020 6:30,6.471,4305.6,,,,
371,7/28/2020 7:00,6.37,4133.4,,,,
372,7/28/2020 7:30,6.674,4994.5,,,,
373,7/28/2020 8:00,7.079,10333.4,,,,
374,7/28/2020 8:30,7.481,11022.3,,,,
375,7/28/2020 9:00,7.682,13777.9,,,,
