"Plot Title: MD_E5Pel_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Coupler Detached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
301,06/19/19 20:00:00,9.866,1980.6,,,,,
302,06/19/19 20:30:00,9.866,1463.9,,,,,
303,06/19/19 21:00:00,9.866,3100.0,,,,,
304,06/19/19 21:30:00,9.866,1270.1,,,,,
305,06/19/19 22:00:00,9.768,710.4,,,,,
306,06/19/19 22:30:00,9.768,592.0,,,,,
307,06/19/19 23:00:00,9.768,322.9,,,,,
308,06/19/19 23:30:00,9.768,344.4,,,,,
309,06/20/19 00:00:00,9.669,236.8,,,,,
310,06/20/19 00:30:00,9.669,32.3,,,,,
311,06/20/19 01:00:00,9.669,43.1,,,,,
312,06/20/19 01:30:00,9.669,21.5,,,,,
313,06/20/19 02:00:00,9.669,43.1,,,,,
314,06/20/19 02:30:00,9.669,32.3,,,,,
315,06/20/19 03:00:00,9.669,64.6,,,,,
316,06/20/19 03:30:00,9.669,193.8,,,,,
317,06/20/19 04:00:00,9.669,312.2,,,,,
318,06/20/19 04:30:00,9.669,279.9,,,,,
319,06/20/19 05:00:00,9.669,376.7,,,,,
320,06/20/19 05:30:00,9.669,570.5,,,,,
321,06/20/19 06:00:00,9.669,818.1,,,,,
322,06/20/19 06:30:00,9.669,1227.1,,,,,
323,06/20/19 07:00:00,9.669,1313.2,,,,,
324,06/20/19 07:30:00,9.669,1356.3,,,,,
325,06/20/19 08:00:00,9.768,3788.9,,,,,
326,06/20/19 08:30:00,9.768,5166.7,,,,,
327,06/20/19 09:00:00,9.768,3616.7,,,,,
328,06/20/19 09:30:00,9.768,3444.5,,,,,
329,06/20/19 10:00:00,9.965,7577.8,,,,,
330,06/20/19 10:30:00,9.965,6200.0,,,,,
331,06/20/19 11:00:00,10.161,9644.5,,,,,
332,06/20/19 11:30:00,10.063,8611.2,,,,,
333,06/20/19 12:00:00,10.063,5511.1,,,,,
334,06/20/19 12:30:00,9.965,6200.0,,,,,
335,06/20/19 13:00:00,9.866,3788.9,,,,,
336,06/20/19 13:30:00,9.965,4994.5,,,,,
337,06/20/19 14:00:00,10.063,6544.5,,,,,
338,06/20/19 14:30:00,10.161,8266.7,,,,,
339,06/20/19 15:00:00,10.063,5511.1,,,,,
340,06/20/19 15:30:00,10.259,10333.4,,,,,
341,06/20/19 16:00:00,10.455,16533.4,,,,,
342,06/20/19 16:30:00,10.357,10333.4,,,,,
343,06/20/19 17:00:00,10.063,3788.9,,,,,
344,06/20/19 17:30:00,10.063,5166.7,,,,,
345,06/20/19 18:00:00,10.063,5166.7,,,,,
346,06/20/19 18:30:00,10.161,5338.9,,,,,
347,06/20/19 19:00:00,10.063,3100.0,,,,,
348,06/20/19 19:30:00,9.965,3100.0,,,,,
349,06/20/19 20:00:00,9.965,2152.8,,,,,
350,06/20/19 20:30:00,9.866,1636.1,,,,,
351,06/20/19 21:00:00,9.866,1001.0,,,,,
352,06/20/19 21:30:00,9.866,828.8,,,,,
353,06/20/19 22:00:00,9.768,462.9,,,,,
354,06/20/19 22:30:00,9.768,204.5,,,,,
355,06/20/19 23:00:00,9.768,183.0,,,,,
356,06/20/19 23:30:00,9.768,258.3,,,,,
357,06/21/19 00:00:00,9.768,96.9,,,,,
358,06/21/19 00:30:00,9.768,86.1,,,,,
359,06/21/19 01:00:00,9.768,86.1,,,,,
360,06/21/19 01:30:00,9.768,96.9,,,,,
361,06/21/19 02:00:00,9.768,129.2,,,,,
362,06/21/19 02:30:00,9.669,86.1,,,,,
363,06/21/19 03:00:00,9.669,215.3,,,,,
364,06/21/19 03:30:00,9.669,452.1,,,,,
365,06/21/19 04:00:00,9.669,678.1,,,,,
366,06/21/19 04:30:00,9.669,947.2,,,,,
367,06/21/19 05:00:00,9.669,1280.9,,,,,
368,06/21/19 05:30:00,9.669,1808.3,,,,,
369,06/21/19 06:00:00,9.768,2152.8,,,,,
370,06/21/19 06:30:00,9.768,2411.1,,,,,
371,06/21/19 07:00:00,9.768,2497.2,,,,,
372,06/21/19 07:30:00,9.768,2583.4,,,,,
373,06/21/19 08:00:00,9.768,3616.7,,,,,
374,06/21/19 08:30:00,9.866,4822.3,,,,,
375,06/21/19 09:00:00,9.866,5511.1,,,,,
376,06/21/19 09:30:00,9.965,6544.5,,,,,
377,06/21/19 10:00:00,10.063,8266.7,,,,,
378,06/21/19 10:30:00,10.161,8611.2,,,,,
379,06/21/19 11:00:00,10.259,13777.9,,,,,
380,06/21/19 11:30:00,10.455,13777.9,,,,,
381,06/21/19 12:00:00,10.063,5338.9,,,,,
382,06/21/19 12:30:00,10.063,7233.4,,,,,
383,06/21/19 13:00:00,10.553,11711.2,,,,,
384,06/21/19 13:30:00,10.455,9644.5,,,,,
385,06/21/19 14:00:00,10.553,11711.2,,,,,
386,06/21/19 14:30:00,10.553,11711.2,,,,,
387,06/21/19 15:00:00,10.553,12400.1,,,,,
388,06/21/19 15:30:00,10.357,8266.7,,,,,
389,06/21/19 16:00:00,10.553,20666.8,,,,,
390,06/21/19 16:30:00,10.553,6544.5,,,,,
391,06/21/19 17:00:00,10.748,22044.6,,,,,
392,06/21/19 17:30:00,10.651,27555.7,,,,,
393,06/21/19 18:00:00,10.455,5166.7,,,,,
394,06/21/19 18:30:00,10.455,5511.1,,,,,
395,06/21/19 19:00:00,10.748,6544.5,,,,,
396,06/21/19 19:30:00,10.455,7233.4,,,,,
397,06/21/19 20:00:00,10.455,4994.5,,,,,
398,06/21/19 20:30:00,10.259,1636.1,,,,,
399,06/21/19 21:00:00,10.259,871.9,,,,,
400,06/21/19 21:30:00,10.161,721.2,,,,,
401,06/21/19 22:00:00,10.161,592.0,,,,,
402,06/21/19 22:30:00,10.161,495.1,,,,,
403,06/21/19 23:00:00,10.161,258.3,,,,,
404,06/21/19 23:30:00,10.161,139.9,,,,,
405,06/22/19 00:00:00,10.161,129.2,,,,,
406,06/22/19 00:30:00,10.063,86.1,,,,,
407,06/22/19 01:00:00,10.063,43.1,,,,,
408,06/22/19 01:30:00,10.063,10.8,,,,,
409,06/22/19 02:00:00,10.063,64.6,,,,,
410,06/22/19 02:30:00,10.063,32.3,,,,,
411,06/22/19 03:00:00,10.063,43.1,,,,,
412,06/22/19 03:30:00,10.063,75.3,,,,,
413,06/22/19 04:00:00,10.063,161.5,,,,,
414,06/22/19 04:30:00,9.965,398.3,,,,,
415,06/22/19 05:00:00,9.965,462.9,,,,,
416,06/22/19 05:30:00,9.965,1270.1,,,,,
417,06/22/19 06:00:00,9.965,1119.5,,,,,
418,06/22/19 06:30:00,9.965,2238.9,,,,,
419,06/22/19 07:00:00,9.965,2927.8,,,,,
420,06/22/19 07:30:00,10.161,4477.8,,,,,
421,06/22/19 08:00:00,10.161,4650.0,,,,,
422,06/22/19 08:30:00,10.161,4650.0,,,,,
423,06/22/19 09:00:00,10.259,5511.1,,,,,
424,06/22/19 09:30:00,10.161,4822.3,,,,,
425,06/22/19 10:00:00,10.259,8611.2,,,,,
426,06/22/19 10:30:00,10.455,6544.5,,,,,
427,06/22/19 11:00:00,10.357,9300.1,,,,,
428,06/22/19 11:30:00,10.455,11022.3,,,,,
429,06/22/19 12:00:00,10.651,9300.1,,,,,
430,06/22/19 12:30:00,10.748,10333.4,,,,,
431,06/22/19 13:00:00,11.334,38578.0,,,,,
432,06/22/19 13:30:00,11.819,38578.0,,,,,
433,06/22/19 14:00:00,12.110,49600.3,,,,,
434,06/22/19 14:30:00,12.013,49600.3,,,,,
435,06/22/19 15:00:00,12.110,49600.3,,,,,
436,06/22/19 15:30:00,12.110,46844.8,,,,,
437,06/22/19 16:00:00,12.401,63378.2,,,,,
